bill_id,history_trace
33,"{""2023-02-17 >> Read first time. To print."",""2023-02-18 >> From printer. May be heard in committee March 20."",""2023-03-09 >> From committee chair, with author's amendments: Amend, and re-refer to Com. on PUB. S. Read second time and amended."",""2023-03-09 >> Referred to Com. on PUB. S."",""2023-03-13 >> Re-referred to Com. on PUB. S."",""2023-04-11 >> In committee: Set, first hearing. Hearing canceled at the request of author."",""2023-04-12 >> From committee chair, with author's amendments: Amend, and re-refer to Com. on PUB. S. Read second time and amended."",""2023-04-17 >> Re-referred to Com. on PUB. S."",""2023-04-18 >> In committee: Set, second hearing. Failed passage. Reconsideration granted."",""2023-04-19 >> Coauthors revised."",""2024-01-31 >> Died pursuant to Art. IV, Sec. 10(c) of the Constitution."",""2024-02-01 >> From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.""}"
34,"{""2023-01-18 >> Introduced. Read first time. To Com. on RLS. for assignment. To print."",""2023-01-19 >> From printer. May be acted upon on or after February 18."",""2023-01-25 >> Referred to Com. on B. & F.R."",""2023-03-16 >> Ordered to second reading."",""2023-03-16 >> Withdrawn from committee. (Ayes 28. Noes 8. Page 357.)"",""2023-03-20 >> Read second time. Ordered to third reading."",""2023-03-27 >> In Assembly. Read first time. Held at Desk."",""2023-03-27 >> Read third time. Passed. (Ayes 29. Noes 8. Page 500.) Ordered to the Assembly."",""2023-03-30 >> Referred to Com. on BUDGET."",""2023-06-26 >> From committee with author's amendments. Read second time and amended. Re-referred to Com. on BUDGET."",""2023-06-27 >> Re-referred to Com. on TRANS. pursuant to Assembly Rule 96."",""2023-06-27 >> Joint Rule 62(a) suspended."",""2023-06-29 >> From committee: Do pass. (Ayes 15. Noes 0.) (June 29)."",""2023-06-29 >> Read third time. Urgency clause adopted. Passed. (Ayes 74. Noes 0. Page 2488.) Ordered to the Senate."",""2023-06-29 >> Assembly Rule 63 suspended. (Ayes 57. Noes 15. Page 2472.)"",""2023-07-03 >> In Senate. Concurrence in Assembly amendments pending."",""2023-07-05 >> Enrolled and presented to the Governor at 4 p.m."",""2023-07-05 >> Urgency clause adopted."",""2023-07-05 >> Assembly amendments concurred in. (Ayes 39. Noes 0. Page 1895.) Ordered to engrossing and enrolling."",""2023-07-10 >> Chaptered by Secretary of State. Chapter 58, Statutes of 2023."",""2023-07-10 >> Approved by the Governor.""}"
35,"{""2023-02-17 >> Read first time. To print."",""2023-02-18 >> From printer. May be heard in committee March 20."",""2023-03-23 >> Referred to Coms. on L. GOV. and NAT. RES."",""2023-03-23 >> From committee chair, with author's amendments: Amend, and re-refer to Com. on L. GOV. Read second time and amended."",""2023-03-27 >> Re-referred to Com. on L. GOV."",""2024-01-31 >> Died pursuant to Art. IV, Sec. 10(c) of the Constitution."",""2024-02-01 >> From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.""}"
36,"{""2023-02-02 >> Read first time. To print."",""2023-02-03 >> From printer. May be heard in committee March 5."",""2024-02-01 >> Died at Desk.""}"
37,"{""2023-02-17 >> Read first time. To print."",""2023-02-18 >> From printer. May be heard in committee March 20."",""2023-03-09 >> From committee chair, with author's amendments: Amend, and re-refer to Com. on NAT. RES. Read second time and amended."",""2023-03-09 >> Referred to Com. on NAT. RES."",""2023-03-13 >> Re-referred to Com. on NAT. RES."",""2024-01-31 >> Died pursuant to Art. IV, Sec. 10(c) of the Constitution."",""2024-02-01 >> From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.""}"
38,"{""2023-01-09 >> Read first time. To print."",""2023-01-10 >> From printer. May be heard in committee February 9."",""2023-01-26 >> Referred to Com. on BUDGET."",""2023-02-01 >> From committee chair, with author's amendments: Amend, and re-refer to Com. on BUDGET. Read second time and amended."",""2023-02-02 >> Re-referred to Com. on BUDGET."",""2023-03-20 >> Withdrawn from committee."",""2023-03-20 >> Assembly Rule 96 suspended. (Ayes 61. Noes 17. Page 732.)"",""2023-03-20 >> Ordered to second reading."",""2023-03-21 >> Read second time. Ordered to third reading."",""2023-03-23 >> In Senate. Read first time. To Com. on RLS. for assignment."",""2023-03-23 >> Read third time. Passed. Ordered to the Senate. (Ayes 60. Noes 14. Page 868.)"",""2023-04-12 >> Referred to Com. on B. & F.R."",""2024-08-14 >> In committee: Hearing postponed by committee."",""2024-08-15 >> Joint Rule 61 suspended. (Ayes 30. Noes 9.)"",""2024-08-22 >> Senate rules suspended."",""2024-08-22 >> (Ayes 24. Noes 9.)"",""2024-08-26 >> In committee: Hearing postponed by committee."",""2024-08-27 >> Senate rules suspended (Ayes 31. Noes 9.)"",""2024-08-27 >> From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Com. on B. & F.R."",""2024-08-28 >> Joint Rules 61 and 62(a) suspended. (Ayes 31. Noes 8.)"",""2024-08-29 >> From committee: Do pass. (Ayes 14. Noes 5.) (August 29)."",""2024-08-30 >> Read second time. Ordered to third reading."",""2024-08-31 >> Read third time. Passed. Ordered to the Assembly. (Ayes 31. Noes 9.)."",""2024-08-31 >> In Assembly. Concurrence in Senate amendments pending."",""2024-08-31 >> Senate amendments concurred in. To Engrossing and Enrolling. (Ayes 60. Noes 17.)."",""2024-09-03 >> Enrolled and presented to the Governor at 3:30 p.m."",""2024-09-30 >> Chaptered by Secretary of State - Chapter 995, Statutes of 2024."",""2024-09-30 >> Approved by the Governor.""}"
39,"{""2023-02-17 >> Read first time. To print."",""2023-02-18 >> From printer. May be heard in committee March 20."",""2023-03-09 >> Referred to Coms. on HEALTH and JUD."",""2024-01-31 >> Died pursuant to Art. IV, Sec. 10(c) of the Constitution."",""2024-02-01 >> From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.""}"
40,"{""2022-12-05 >> Read first time. To print."",""2022-12-06 >> From printer. May be heard in committee January 5."",""2023-04-20 >> Referred to Coms. on W., P., & W. and NAT. RES."",""2024-03-06 >> From committee chair, with author's amendments: Amend, and re-refer to Com. on W., P., & W. Read second time and amended."",""2024-03-07 >> Re-referred to Com. on W., P., & W."",""2024-03-19 >> In committee: Set, first hearing. Hearing canceled at the request of author.""}"
41,"{""2023-01-18 >> Introduced. Read first time. To Com. on RLS. for assignment. To print."",""2023-01-19 >> From printer. May be acted upon on or after February 18."",""2023-01-25 >> Referred to Com. on B. & F.R."",""2023-03-16 >> Ordered to second reading."",""2023-03-16 >> Withdrawn from committee. (Ayes 28. Noes 8. Page 357.)"",""2023-03-20 >> Read second time. Ordered to third reading."",""2023-03-27 >> Read third time. Passed. (Ayes 29. Noes 8. Page 515.) Ordered to the Assembly."",""2023-03-27 >> In Assembly. Read first time. Held at Desk."",""2023-03-30 >> Referred to Com. on BUDGET.""}"
42,"{""2023-02-14 >> Read first time. To print."",""2023-02-15 >> From printer. May be heard in committee March 17."",""2024-02-01 >> Died at Desk.""}"
